Kanji;Deutsch
並;Reihe, nebeneinander stehen
乱;Unordnung, Chaos
乳;Milch
亡;verstorben
仁;Barmherzigkeit
供;anbieten
俳;Haiku, Schauspieler
値;Preis, Wert
傷;Wunde
優;überlegen sein
党;politische Partei
冊;Buch, Band
処;behandeln, bestrafen
刻;schnitzen, gravieren
割;aufteilen
創;erschaffen
劇;Theaterstück
勤;gewissenhaft arbeiten
危;gefährlich
卵;Ei
厳;streng, strikt
収;aufbewahren, bezahlen
后;Kaiserin
否;verneinen
吸;saugen, einatmen
呼;rufen, nennen
善;tugendhaft, gut
困;in Schwierigkeiten sein
垂;herabhängen
城;Burg, Schloss
域;Ausmaß, Bereich
奏;(ein Instrument) spielen
奮;aufgewühlt sein, sich anstrengen
姿;Form, Gestalt
存;existieren, vermuten
孝;Respekt gegenüber den Eltern
宅;Haus, Wohnung
宇;Dach
宗;Religion
宙;Luft, Raum
宝;Schatz
宣;verkünden
密;heimlich, dicht
寸;Maß
専;hauptsächlich, speziell
射;schießen
将;Anführer
尊;achten
就;betreffend
尺;Längenmaß
届;senden
展;ausdehnen
層;Schicht, Formation
己;selbst
巻;Buch, Rolle
幕;Vorhang
干;trocknen
幼;Kindheit, kindisch
庁;(Regierungs)behörde
座;sitzen
延;verlängern
律;Rhythmus, Rechtswesen
従;befolgen, unterwerfen
忘;vergessen
忠;Loyalität
憲;Gesetz, Verfassung
我;das Ich
批;Kritik
担;schultern, tragen
拝;Verehrung
拡;ausbreiten
捨;aufgeben, verlassen
探;herumtasten
推;schlussfolgern
揮;schwingen
操;bedienen, steuern
敬;Respekt
映;fotografieren, reflektieren
晩;Abend, Nacht
暖;warm
暮;Leben
朗;klar, heiter, melodisch
机;(Schreib)tisch
枚;(Zählwort für flache Objekte)
染;färben
株;Aktie, Baumstumpf
棒;Stab, Stock
模;imitieren
権;Autorität, Recht
樹;Baum, Strauch
欲;wünschen, haben wollen
段;Stufe, Treppe
沿;entlang verlaufen
泉;Quelle
洗;waschen
派;Gruppe, Sekte
済;beenden
源;Ursprung
潮;Gezeiten
激;heftig, wild
灰;Asche
熟;reifen
片;eine Seite (von zwei)
班;Truppe
異;ungewöhnlich
疑;zweifeln
痛;Schmerz
皇;Kaiser
盛;gedeihend
盟;Bündnis
看;beobachten
砂;Sand
磁;Magnet
私;ich, privat
秘;Geheimnis
穀;Getreide
穴;Loch
窓;Fenster
筋;Gerüst, Muskel
策;Maßnahme, Plan
簡;einfach, schlicht
糖;Zucker
系;Linie, System
紅;Scharlachrot
納;zum Abschluss bringen
純;rein, echt
絹;Seide
縦;vertikal
縮;schrumpfen
署;Unterschrift, Behörde
翌;folgend
聖;heilig
肺;Lunge
背;Rücken
胸;Brust
脳;Gehirn
腹;Bauch
臓;inneres Organ
臨;konfrontiert werden, kontrollieren
至;äußerst, Höhepunkt
若;jung
著;berühmt, veröffentlichen, tragen
蒸;Dampf
蔵;Lager(haus)
蚕;Seidenraupe
衆;Menschenmenge, Massen
裁;ein Urteil fällen
装;Kleidung, schmücken
裏;Rückseite
補;ergänzen
視;anschauen
覧;ansehen, betrachten
討;strafen, angreifen
訪;besuchen
訳;Übersetzung
詞;Worte, Dichtung
誌;Dokument, Bericht
認;(an)erkennen
誕;Geburt, Lüge
誠;Aufrichtigkeit
誤;sich irren
論;Theorie, Argumentation
諸;verschieden
警;ermahnen, warnen
貴;wertvoll
賃;Gebühr, Lohn
遺;hinterlassen
郵;Post
郷;Heimatort
針;Nadel, Stachel
鋼;Stahl
閉;schließen
閣;hohes Gebäude, Palast
降;hinuntergehen, fallen
陛;Majestät
除;ausschließen
障;hemmen, schaden
難;schwierig
革;Leder
頂;Scheitel, auf dem Kopf tragen
骨;Knochen
