Spanish;English
uno;1
dos;2
tres;3
cuatro;4
cinco;5
seis;6
siete;7
ocho;8
nueve;9
diez;10
once;11
doce;12
trece;13
catorce;14
quince;15
dieciséis;16
diecisiete;17
dieciocho;18
diecinueve;19
veinte;20
cien;100
mil;1.000
