English;中文;Pinyin
colour;颜色;yán sè
red;红色;hóng sè
yellow;黄色;huáng sè
blue;蓝色;lán sè
pink;粉色;fěn sè
orange;橙色;chéng sè
green;绿色;lǜ sè
white;白色;bái sè
black;黑色;hēi sè
purple;紫色;zǐ sè
grey;灰色;huī sè
brown;棕色;zōng sè
blue-green;青色;qīng sè
dark colour;深色;shēn sè
light colour;浅色;qiǎn sè
dark blue;深蓝色;shēn lán sè
light blue;浅蓝色;qiǎn lán sè
