Japanisch;Deutsch;Kanji
たべます;essen;食べます
のみます;trinken;飲みます
[たばこを] すいます;[Zigarette] rauchen
みます;sehen;見ます
ききます;hören;聞きます
よみます;lesen;読みます
かきます;schreiben;書きます
かいます;kaufen;買います
[しゃしんを] とります;Fotos machen, fotografieren;[写真を] 撮ります
します;tun, machen
[ともだちに] あいます;sich [mit Freunden] treffen;[友達に] 会います

ごはん;Essen, gekochter Reis
あさごはん;Frühstück;朝ごはん
ひるごはん;Mittagessen;昼ごはん
ばんごはん;Abendessen;晩ごはん

パン;Brot
たまご;Ei;卵
にく;Fleisch;肉
さかな;Fisch;魚
やさい;Gemüse;野菜
くだもの;Obst;果物

みず;Wasser;水
おちゃ;grüner Tee;お茶
こうちゃ;schwarzer Tee;紅茶
ぎょうにゅう;Milch;牛乳
ミルク;Milch
ジュース;Saft
ビール;Bier
[お] さけ;Alkohol, Reiswein
たばこ;Zigaretten

てがみ;Brief;手紙
レポート;Bericht, Hausarbeit
しゃしん;Foto;写真
ビデオ;Video, Videorekorder

みせ;Geschäft, Laden;店
にわ;Garten;庭

しゅくだい;Hausarbeit;宿題
しゅくだいをします;Hausaufgaben machen;宿題をします
テニス;Tennis
テニスをします;Tennis spielen
サッカー;Fußball
サッカーをします;Fußball spielen
おはなみ;Kirschblütenschau;お花見
おはなみをします;Kirschblüten anschauen;お花見をします

なに;was;何

いっしょに;zusammen
しょっと;ein wenig, ein bisschen
いつも;immer
ときどき;manchmal;時々

ぞれから;danach, dann
ええ;ja

いいですね。;Gute Idee!

わかりました。;Ich habe verstanden.

なんですか。;Ja?
じゃ、また　[おした]。Man sieht sich! Bis morgen!

V-ませんか;Verb-Endung: Höffliche Aufforderung, Einladung
V-ましょう;Verb-Endung: Aufforderung, Vorschlag mit Nachdruck
すみません。ちょっと;Nein Danke.
すみません。ちょっと;Nein, das kannst du dir abschminken.
