Emoji;Türkçe
🍎🍏;elma
🍐;armut
🍊;turuncu
🍇;üzüm
🍌;muz
🍅;domates
🍓;çilek
🥒;salatalık
🥔;patates
🥕;havuç
🍄;mantar
🥑;avokado
🍆;patlıcan
🍉;karpuz
🍑;şeftali
🫐;yaban mersini
🍒;kiraz
🌶️;acı biber
🥝;kivi
🍋;limon
🥭;mango
🍍;ananas
🥥;hindistan cevizi
🌰;kestane
🍈;kavun
🥜;fıstık
🧄;sarımsak
🧅;soğan
🫒;zeytin
🫑;dolmalık biber
🌽;mısır
🥬;yaprak sebze
🥦;brokoli
🎃;balkabağı
