Japanisch;Deutsch
これ;dieser Gegenstand (beim Sprecher)
それ;dieser Gegenstand (beim Gesprächspartner)
あれ;dieser Gegenstand (vom Sprecher und Gesprächspartner entfernt)

この~;dies ~ hier (beim Sprecher)
その~;dies ~ da (beim Gesprächspartner)
あの~;jenes ~ dort drüben (vom Sprecher und Gesprächspartner entfernt)

ほん;Buch
じしょ;Wörterbuch
ざっし;Zeitschrift
しんぶん;Zeitung
ノート;Heft
てちょう;Notizbuch
めいし;Visitenkarte
カード;Karte

えんぴつ;Bleistift
ボールペン;Kugelschreiber
シャープペンシル;Drehbleistift

かぎ;Schlüssel
とけい;Uhr
かさ;Regenschirm
かばん;Tasche

テレビ;Fernseher
ラジオ;Radio
カメラ;Kamera
コンピューター;Computer
くるま;Auto
じどうしゃ;Wagen

つくえ;Schreibtisch
いす;Stuhl

チョコレート;Schokolade
コーヒー;Kaffee

おみやげ;Souvenir

えいご;Englisch
にほんご;Japanisch
~ご;Sprache

なん;was

そう;so

あのう;Äh...
えっ;Oh!/Wie?/Was?
どうぞ。;Bitte schön
[どうも]　ありがとう　[ございます]。;Vielen Dank
そうですか。;Ach so. Ich verstehe.
ちがいます。;Nein, ist es nicht.
あ;Oh! Ah!

これからおせわになります。;Vielen Dank im Voraus für Ihre Hilfe.
こちらこそ　[どうぞ]　よろしく　[おねがいします]。;Ganz meinerseits. Es freut mich auch.
