English;中文;Pinyin
father;爸爸;bàba
mother;妈妈;Māma
brother;哥哥;gēge
sister;姐姐;jǐejie
brother;兄弟;xiōng dì
sister;姐妹;jǐe mèi
grandpa;爷爷;yéye
grandma;奶奶;nǎinǎi
