Emoji;Deutsch
🍎🍏;Apfel
🍐;Birne
🍊;Orange
🍇;Weintraube
🍌;Banane
🍅;Tomate
🍓;Erdbeere
🥒;Gurke
🥔;Kartoffel
🥕;Karotte
🍄;Pilz
🥑;Avocado
🍆;Aubergine
🍉;Wassermelone
🍑;Pfirsich
🫐;Blaubeere
🍒;Kirsche
🌶️;Chili
🥝;Kiwi
🍋;Zitrone
🥭;Mango
🍍;Ananas
🥥;Kokusnuss
🌰;Esskastanie
🍈;Melone
🥜;Erdnuss
🧄;Knoblauch
🧅;Zwiebel
🫒;Olive
🫑;Paprika
🌽;Mais
🥦;Brokkoli
🎃;Kürbis
