Emoji;中文
🐎;马
🐦;鸟
🐻;熊
🐅;老虎
🐑;羊
🐄;牛
🐘;象
🐟;鱼
🐈;猫
🐕;狗
🐖;猪
🐒;猴子
🐔;鸡
🦆;鸭
🦁;狮子
🐁;老鼠
🐼;熊猫
🐇;兔子
🐌;蜗牛
🐍;蛇
🐺;狼
🦐;虾
🦒;长颈鹿
🦌;鹿
🐊;鳄鱼
🦊;狐狸
🦉;猫头鹰
🦇;蝙蝠
🐬;海豚
🐋;鲸鱼
🦀;螃蟹
🦈;鲨鱼
🐧;企鹅
🐸;青蛙
🐛;毛虫
🐜;蚂蚁
🕷️;蜘蛛
🦋;蝴蝶
🐝;蜜蜂
🐢;乌龟
🦎;蜥蜴
🦍;大猩猩
🦝;浣熊
🐆;豹
🐏;公羊
🐑;羊
🐐;山羊
🐪;骆驼
🦏;犀牛
🦛;河马
🐿️;松鼠
🦫;海狸
🦔;刺猬
🐨;考拉
🦥;树懒
🦦;水獭
🦨;臭鼬
🦘;袋鼠
🦡;獾
🐓;公鸡
🦃;火鸡
🦅;老鹰
🦢;天鹅
🦩;火烈鸟
🦚;孔雀
🦜;鹦鹉
🦭;港海豹
🐙;章鱼
🪲;甲虫
🦗;螳螂
🪳;蟑螂
🦂;蝎子
🦟;蚊子
🪰;藏印
🪱;蠕虫
🦞;龙虾
🦑;鱿鱼
