Hiragana;Deutsch
おきます;aufstehen
ねます;schlafen
はたらきます;arbeiten
ざすみます;Pause machen, sich ausruhen, Urlaub nehmen
べんきょうします;studieren
べんきょうします;lernen
おわります; enden

デパート;Kaufhaus
ぎんこう;Bank
ゆびんきょく;Postamt
としょかん;Bibliothek
びじゅつかん;Kunstmuseum

いま;jetzt
-じ;-Uhr
-ふん;-Minuten (2, 5, 7, 9)
-ぷん-Minuten (0, 1, 3, 4, 6, 8)
はん;Hälfte, halb
なんじ;wie spät, wie viel Uhr
なんじですか。;Wie spät ist es?
なんぷん;welche Minute; wie viel Minuten

ごぜん;vormittags
ごご;nachmittags

あさ;morgens
ひる;mittags
ばん;abends
ぞる;nachts

おととい;vorgestern
きのう;gestern
きょう;heute
あした;morgen
あさって;übermorgen

けさ;heute Morgen
こんばん;heute Abend
きのうのばん;gestern Abend
あしたのあさ;morgen früh

やすみ;Pause, Ruhetag
ひるざすみ;Mittagspause

しけん;Prüfung
かいぎ;Konferenz
えいが;Film

まいあさ;jeden Morgen
まいばん;jeden Abend
まいにち;jeden Tag

げつようび;Montag
かようび;Dienstag
すいようび;Mittwoch
もくようび;Donnerstag
きんょうび;Freitag
どようび;Samstag
にちようび;Sonntag
なんようび;welcher Wochentag
きょうはなんようびですか。;Welcher Wochentag ist heute?

~から;von ~
~まで;bis ~
~と~;und (Verbindung von Nomina)
~そして~;und (Verbindung von Sätzen)

たいへんですね。;Das ist ganz schön anstrengend, nicht wahr?
たいへんですね。;Voll scheiße, oder?

ばんごう;Nummer
なんばん;welche Nummer
でんわのばんごはなんばんですか。;Wie ist deine Telefonnummer?
そちら;bei Ihnen

ニューヨーク;New York
ペキン;Peking
ロスンゼルス;Los Angeles
ロンドン;London

V-ます;Verb-Endung
V-ません;Verb-Endung verneint
V-ました;Verb-Endung Vergangenheit
V-ませんでした;Verb-Ednung verneinte Vergangenheit
