Japanisch;Deutsch;Kanji
ハンサム [な];gutaussehend (meist für Männer)
きらい [な];hübsch, schön, sauber
しずか [な];still, ruhig;静か
にぎやか [な];belebt
ゆうめい [な];berühmt;有名
しんせつ [な];freundlich, nett;親切
げんき [な];munter, lebhaft und gesund;元気
ひま [な];frei;暇
べんり [な];praktisch;便利
すてき [な];wunderbar, toll, schön
