Kanji;Deutsch
数;Zahl, Anzahl
多;viel
少;wenig
万;Zehntausend
半;halb
形;Form
太;dick
細;dünn
広;breit
長;lang, Anführer
点;Punkt
丸;Kreis
交;kreuzen
光;Licht
角;Ecke, Horn
計;messen, planen
直;gerade
線;Linie
矢;Pfeil
弱;schwach
強;stark
高;hoch
同;gleich
親;Eltern
母;Mutter
父;Vater
姉;ältere Schwester
兄;älterer Bruder
弟;jüngerer Bruder
妹;jüngere Schwester
自;selbst
友;Freund
体;Körper
毛;Haare
頭;Kopf
顔;Gesicht
首;Hals
心;Herz
時;Zeit, Stunde
曜;Wochentag
朝;Morgen
昼;Mittag
夜;Nacht
分;Minute, verstehen
週;Woche
春;Frühling
夏;Sommer
秋;Herbst
冬;Winter
今;jetzt
新;neu
古;alt
間;Zwischenraum
方;Richtung
北;Norden
南;Süden
東;Osten
西;Westen
遠;weit
近;nah
前;vorher
後;nachher
内;innen
外;außen
場;Ort
地;Erdboden
国;Land
園;Garten
谷;Tal
野;Feld
原;Ebene
里;Dorf, Elternhaus
市;Stadt, Markt
京;Hauptstadt
風;Wind
雪;Schnee
雲;Wolke
池;Teich
海;Meer
岩;Fels
星;Stern
室;Zimmer
戸;Tür
家;Haus
寺;buddhistischer Tempel
通;durchlassen
門;Tor
道;Straße
話;reden
言;sagen
答;antworten
声;Stimme
聞;hören
語;Sprache
読;lesen
書;schreiben
記;aufzeichnen
紙;Papier
画;zeichnen, malen
絵;Bild
図;Grafik
工;Handwerk
教;lehren
晴;klar
思;denken
考;bedenken
知;wissen
才;Fähigkeit
理;Vernunft
算;rechnen
作;machen
元;Ursprung
食;essen
肉;Fleisch
馬;Pferd
牛;Rind
魚;Fisch
鳥;Vogel
羽;Feder
鳴;zwitschern
麦;Weizen
米;Reis
茶;Tee
色;Farbe
黄;gelb
黒;schwarz
来;kommen
行;gehen
帰;zurückkehren
歩;spaziergehen
走;laufen
止;anhalten
活;am Leben sein
店;Laden
買;kaufen
売;verkaufen
午;Mittag
汽;Dampf
弓;Bogen (Waffe)
回;#NAME?
会;treffen
組;Gruppe
船;Schiff
明;hell
社;Firma
切;schneiden
電;Elektrizität
毎;jeder
合;anpassen
当;dies, treffen
台;Ständer, Podium
楽;Freude
公;öffentlich
引;ziehen
科;Abteilung
歌;Lied, Gedicht
刀;Schwert
番;Nummer, Wache
用;benutzen
何;was
