Kanji;Deutsch
丁;Stadtteil, Bursche
世;Welt
両;beide(s)
主;Meister, Besitzer, Oberhaupt
乗;fahren, multiplizieren
予;vorher
事;abstrakte Sache
仕;ein Amt bekleiden
他;andere
代;Ära, Generation
住;leben, wohnen
使;Verwendung
係;Engagement
倍;doppelt
全;alle, ganz
具;Werkzeug, Zutat
写;kopieren, fotografiert werden
列;Spalte
助;helfen
勉;dienen
動;bewegen
勝;Gewinn, Sieg
化;umwandeln
区;Bezirk, Distrikt
医;Arzt
去;verlassen
反;biegen, sich auflehnen
取;nehmen
受;erhalten
号;Signal, Nummer
向;sich wenden, gehen nach
君;du, Monarch
味;Geschmack
命;Schicksal, Leben
和;Harmonie, Japan, Summe　
品;Artikel, Ware
員;Mitglied
商;Handel, Quotient
問;Frage
坂;Hügel
央;Zentrum
始;beginnen
委;Ausschuss
守;schützen
安;billig, friedlich
定;festlegen, bestimmen
実;Frucht, Realität, Wahrheit
客;Kunde, Gast
宮;Shinto-Schrein, Prinz/Prinzessin
宿;Gasthaus, Schänke
寒;kalt
対;Gegenteil, gegen
局;Behörde, Station
屋;Dach
岸;Küste
島;Insel
州;Staat
帳;Vorhang
平;flach
幸;Glück
度;Grad, Maß
庫;Lagerhaus
庭;Garten, Hof
式;Stil, Zeremonie, Formel
役;Dienst, Rolle
待;warten
急;eilen
息;Atem
悪;schlecht
悲;traurig
想;denken
意;Idee
感;Gefühl
所;Ort, Platz
打;schlagen
投;werfen
拾;aufheben
持;halten
指;Finger
放;freilassen
整;vorbereiten, organisieren
旅;Reise
族;Familie, Stamm
昔;vor langer Zeit
昭;hell, klar
暑;heiß
暗;dunkel
曲;Melodie, abbiegen
有;da sein, existieren
服;Kleidung, dienen
期;Zeitabschnitt
板;Brett
柱;Säule
根;Wurzel
植;Pflanze
業;Arbeit, Geschäft
様;Zustand, Erscheinung
横;horizontal
橋;Brücke
次;nächster
歯;Zahn
死;Tod
氷;Eis
決;entscheiden
油;Öl
波;Welle
注;gießen
泳;schwimmen
洋;Ozean
流;Strömung, fließen
消;löschen
深;tief
温;warm
港;Hafen
湖;See
湯;heißes Wasser
漢;China
炭;Kohle
物;Ding
球;Kugel, Ball
由;Ursache
申;sagen
界;Welt
畑;Feld
病;krank
発;Abfahrt
登;klettern
皮;Haut
皿;Teller
相;gegenseitig
県;Präfektur
真;echt, wahr
着;(Kleidung) tragen
短;kurz
研;polieren, schärfen
礼;Dankbezeugung, Höflichkeit
神;Gott
祭;Fest, feiern
福;Glück, Wohlfahrt
秒;Sekunde
究;erforschen
章;Kapitel
童;Kind
笛;Flöte, Pfeife
第;(Präfix für Ordinalzahlen)
筆;Schreibpinsel
等;Art, Klasse
箱;Schachtel
級;Rang
終;Ende
緑;grün
練;ausbilden
羊;Schaf
美;schön
習;lernen
者;jemand, Person
育;aufziehen, großziehen
苦;Leid
荷;Gepäck
落;fallen
葉;Blatt
薬;Medikament
血;Blut
表;ausdrücken
詩;Gedicht
調;Ton, Melodie
談;sich unterhalten, diskutieren
豆;Bohne
負;besiegt werden
起;aufstehen, erwachen
路;Pfad
身;Körper
転;drehen
軽;leicht, leichtfertig
農;Landwirtschaft
返;erwidern, zurückgeben
追;folgen, verfolgen
送;schicken
速;schnell
進;vorwärtsgehen, Fortschritte machen
遊;spielen
運;tragen
部;Teil
都;Metropole
配;verteilen
酒;Alkohol, Sake
重;schwer (Gewicht), wichtig
鉄;Eisen
銀;Silber
開;offen
院;Institution
陽;Sonne, positiv
階;Treppe, Etage
集;(ver)sammeln
面;Gesicht, Maske
題;Thema
飲;trinken
館;Gebäude
駅;Bahnhof
鼻;Nase
