Japanisch;Deutsch
~は;Subjekt, Thema
~が;Subjekt
~を;direktes Objekt
~か;Fragezeichen
~も;auch
~の~;Nomen verbinden (näher bestimmen, Besitz)
~と~;und
~と;mit (Handlungspartner)
~へ;Richtung (Zielort)
~に;Richtung (Zielort)
~で;Handlungsort
~で;fortbewegen mit
~で;Etwas auf eine Art und Weise tun
~に;um (Zeitangabe)
