Kanji;Deutsch
不;nicht
争;kämpfen
付;anbringen
令;Befehl, Gebot
以;durch, mittels
仲;Beziehung
伝;übermitteln, überliefern
位;Rang
低;niedrig
例;Beispiel
便;Bequemlichkeit, Brief
信;Vertrauen
倉;Lagerhaus
候;Wetter, warten auf
借;sich ausleihen
停;anhalten
健;gesund
側;Seite
働;arbeiten
億;hundert Millionen
兆;Omen, Billion
児;Kind
共;gemeinsam
兵;Soldat
典;Zeremonie, Regel
冷;kühl
初;Anfang
別;trennen
利;Profit
刷;drucken
副;Vize-
功;Verdienst
加;addieren
努;sich anstrengen
労;Arbeit, Mühe
勇;mutig
包;einwickeln
卒;(Schul-)Abschluss
協;Zusammenarbeit
単;einfach
博;Ausstellung, Dr. (Titel)
印;Stempel, Indien
参;teilnehmen
史;Geschichte, Chronik
司;Direktor, Staatsdiener
各;jeder, jeweils
告;bekannt machen, melden
周;Umfang, herumgehen um
唱;anrufen
喜;sich freuen
器;Behälter
囲;einschließen
固;hart
型;Modell, Typ
堂;öffentliche Halle
塩;Salz
士;Gentleman, Samurai
変;ändern, seltsam
夫;Ehemann
失;verlieren
好;mögen
季;Jahreszeit
孫;Enkel
完;perfekt
官;Beamter, Bürokrat
害;Schaden
察;raten, annehmen
巣;Nest
差;Unterschied
希;Hoffnung, selten
席;Sitz
帯;Gürtel
底;Boden
府;Stadtpräfektur
康;friedlich
建;erbauen
径;Durchmesser
徒;zu Fuß, sinnlos
得;erhalten
必;gewiss
念;Gedanke
愛;Liebe　
成;werden
戦;Krieg
折;falten
挙;aufsteigen, erheben
改;reformieren
救;retten
敗;Niederlage
散;zerstreuen
料;Gebühr
旗;Flagge
昨;gestern
景;Szene, Landschaft
最;am meisten (Superlativ)
望;Hoffnung, in die Ferne schauen
未;noch nicht, un-
末;Ende
札;Zettel, Geldschein
材;Holz, Material
束;Bündel
松;Kiefer (Baum)
果;Ergebnis, Frucht
栄;Ruhm, gedeihen
案;Vorschlag, Plan
梅;Pflaume
械;Mechanismus
極;Pol, extrem
標;Markierungspfosten
機;Maschine
欠;fehlen
歴;Lehrplan, zeitlicher Ablauf
残;Rest
殺;töten
毒;Gift
氏;Familienname
民;Volk
求;fordern
治;regieren
法;Gesetz, Methode
泣;weinen
浅;seicht, oberflächlich
浴;baden
清;rein, sauber
満;voll
漁;fischen
灯;Lampe
無;nichts, un-
然;so
焼;backen
照;leuchten
熱;Hitze
牧;Weide, züchten
特;speziell
産;gebären
的;Ziel, (Adjektivierung)
省;Ministerium, weglassen, sparen
祝;feiern
票;Votum
種;Sorte, Saat
積;ansammeln, anhäufen
競;wetteifern
笑;lachen
管;Rohr
節;Abschnitt, Gelenk
粉;Mehl
紀;Chronik
約;Versprechen, kürzen
結;binden
給;Gehalt
続;fortsetzen
置;stellen, legen
老;alter Mensch
胃;Magen
脈;Puls, Vene
腸;Eingeweide
臣;Untertan, Gefolgsmann
航;Navigation
良;gut
芸;Kunst
芽;Knospe
英;England
菜;Gemüse
街;Staat, Straße
衣;Kleid(ung)
要;brauchen
覚;sich merken, erinnern
観;beobachten
訓;Belehrung, Anweisung
試;versuchen, probieren
説;Erklärung, Theorie
課;Abteilung, Lektion
議;Beratung, Vorschlag
象;Elefant, Gestalt
貨;Fracht
貯;sparen, aufbewahren
費;Ausgaben
賞;Preis
軍;Armee
輪;Rad
辞;Wort, absagen
辺;Gegend, Umgebung
連;mitnehmen
達;erreichen, (Plural)
選;auswählen
郡;Landkreis
量;Quantität
録;aufzeichnen
鏡;Spiegel
関;Zusammenhang
陸;Festland
隊;Gruppe, Truppe
静;ruhig
順;gehorchen
願;bitten, wünschen
類;Sorte
飛;fliegen
飯;Nahrung, gekochter Reis
養;aufziehen (Kinder)
験;testen, Effekt
